Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
NUCLEAR	1393.374977	661.422241
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
IND_BOILER_OIL	3.153287	0.817434
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	17.143476	0.914153
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	72.164451	9.728195
DEC_HEATER_ELEC	7.215755	0.377405
H2_ELECTROLYSIS	160.367851	50.114155
H2_FROM_GAS	101.672693	41.442180
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
DIESEL	60.366368
OIL	225.667463
NG	974.017406
WOOD	736.740000
URANIUM	321.401981
WASTE	0.000000
