End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	4.532454	4.411422	4.142677	3.856772	3.651423	3.412802	3.395758	3.458585	4.026850	4.289450	4.692299	4.768935	
HEAT_HIGH_T	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	
HEAT_LOW_T_DHN	2.020800	2.002609	1.511462	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	1.002124	1.559000	2.326403	
HEAT_LOW_T_DECEN	17.277839	17.122309	12.923000	3.429452	0.729452	0.729452	0.729452	0.729452	2.529452	8.568162	13.329452	19.890742	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	
MOB_PRIVATE	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	
MOB_FREIGHT_RAIL	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	
MOB_FREIGHT_ROAD	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	
