Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
NUCLEAR	1.177210	1.177210	1.177210	1.177210	0.793084	0.000000	0.607606	1.177210	1.177210	1.177210	1.177210	1.177210
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.422510	0.422510	0.422510	0.422510	0.422510	0.422510	0.000000	0.000000	0.000000
IND_BOILER_COAL	0.139836	0.139836	0.139836	0.000000	0.139836	0.139836	0.139836	0.139836	0.109538	0.139836	0.139836	0.139836
IND_BOILER_WASTE	1.458338	1.458338	1.458338	1.175664	0.515925	0.515925	0.515925	0.515925	0.546223	1.458338	1.458338	1.458338
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.000000	0.519903	0.519903	0.519903	0.519903	0.519903	0.000000	0.000000	0.000000
DEC_HP_ELEC	8.638920	8.561155	6.461500	1.714726	0.364726	0.364726	0.364726	0.364726	1.264726	4.284081	6.664726	9.945371
DEC_THERMAL_HP_GAS	2.020800	2.002609	1.511462	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	1.002124	1.559000	2.326403
DEC_BOILER_GAS	4.890336	4.846314	3.657738	0.970675	0.206465	0.206465	0.206465	0.206465	0.715938	2.425141	3.772781	5.629894
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
H2_FROM_GAS	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726
PYROLYSIS	0.873288	0.873288	0.873288	0.860986	0.542386	0.542386	0.542386	0.542386	0.754786	0.873288	0.873288	0.873288

Resource [GW]
ELECTRICITY	3.627097	3.632801	2.944167	0.795885	0.000000	0.000000	0.000000	0.000000	0.000000	1.587781	0.000000	4.364742
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
DIESEL	0.000000	0.000000	0.000000	0.012302	0.330902	0.330902	0.330902	0.330902	0.118502	0.000000	0.000000	0.000000
OIL	1.165497	1.147145	0.651626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137755	0.699588	1.473820
NG	8.296866	8.235815	6.587426	2.860848	1.800995	1.800995	1.800995	1.800995	2.507564	4.877987	6.746974	9.322530
WOOD	1.309932	1.309932	1.309932	1.291479	0.813579	0.813579	0.813579	0.813579	1.132179	1.309932	1.309932	1.309932
COAL	0.170600	0.170600	0.170600	0.000000	0.170600	0.170600	0.170600	0.170600	0.133636	0.170600	0.170600	0.170600
URANIUM	3.178468	3.178468	3.178468	3.178468	2.141328	0.000000	1.640536	3.178468	3.178468	3.178468	3.178468	3.178468
WASTE	1.779172	1.779172	1.779172	1.434310	0.629428	0.629428	0.629428	0.629428	0.666392	1.779172	1.779172	1.779172

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_PHEV	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164
CAR_BEV	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493
CAR_FC	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
BUS_NG	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
TRAIN_PUBLIC	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434
TRAIN_FREIGHT	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174
TRUCK_FREIGHT_FC	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260
