Technology	GWP_construction [ktCO2-eq/y]
NUCLEAR	38.481971
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
IND_BOILER_OIL	0.305698
IND_BOILER_COAL	0.076079
IND_BOILER_WASTE	2.671279
IND_HEATER_ELEC	0.076253
DEC_HP_ELEC	130.613534
DEC_THERMAL_HP_GAS	63.683009
DEC_BOILER_GAS	10.017349
DEC_BOILER_OIL	3.539187
DEC_HEATER_ELEC	0.000000
H2_ELECTROLYSIS	0.004282
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	3553.481023
GASOLINE	2730.000000
DIESEL	342.720000
OIL	1185.916330
NG	10830.546530
WOOD	118.422000
COAL	103.236226
URANIUM	174.654968
WASTE	1671.300000
