Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	475.795586	191.924614
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
IND_BOILER_OIL	2.906815	0.753541
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	12.245524	0.652976
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	193.195487	26.043895
DEC_HEATER_ELEC	4.919307	0.257294
H2_ELECTROLYSIS	161.066252	50.332402
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
DIESEL	91.527408
OIL	215.640912
NG	910.487878
NG_CCS	2480.393509
WOOD	736.740000
WASTE	0.000000
