Technology	Installed capacity [GW]
CCGT_CCS	5.897580
WIND	5.300000
HYDRO_DAM_EXISTING	8.080000
HYDRO_DAM	0.440000
HYDRO_RIVER_EXISTING	3.800000
HYDRO_RIVER	0.850000
IND_BOILER_OIL	0.627775
IND_BOILER_WASTE	1.598174
IND_HEATER_ELEC	0.514269
DHN_HP_ELEC	0.272764
DHN_BOILER_GAS	0.382195
DHN_BOILER_OIL	3.667128
DHN_GEOTHERMAL	0.330718
DEC_HP_ELEC	14.257390
DEC_THERMAL_HP_GAS	1.922024
DEC_BOILER_GAS	5.702956
DEC_BOILER_OIL	2.851478
THERMAL_SOLAR	2.799790
DEC_HEATER_ELEC	2.715922
H2_ELECTROLYSIS	1.165445
PYROLYSIS	1.086599

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.712329
CAR_DIESEL	1.712329
CAR_PHEV	0.856164
CAR_BEV	2.568493
CAR_FC	1.712329
BUS_DIESEL	0.570776
BUS_NG	0.000000
BUS_FC	1.141553
TRAIN_PUBLIC	3.995434
TRAIN_FREIGHT	1.598174
TRUCK_FREIGHT_FC	2.397260
