Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	29.201232
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
HYDRO_RIVER	5.889561
IND_BOILER_GAS	0.293363
IND_BOILER_OIL	0.568372
IND_BOILER_WASTE	2.027611
DEC_HP_ELEC	130.613534
DEC_THERMAL_HP_GAS	63.683009
DEC_BOILER_GAS	9.542687
DEC_BOILER_OIL	3.539187
THERMAL_SOLAR	10.784107
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	2730.000000
OIL	1103.063946
NG	11191.692822
NG_CCS	860.198287
WOOD	147.348000
WASTE	1671.300000
