Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	3.901919	3.901919	3.901919	1.549406	0.000000	0.000000	0.000000	0.000000	0.000000	2.781227	3.901919	3.901919
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
HYDRO_RIVER	0.255000	0.221000	0.263500	0.374000	0.527000	0.654500	0.654500	0.603500	0.467500	0.314500	0.297500	0.289000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.490555	0.785555	0.785555	0.785555	0.785555	0.588888	0.000000	0.000000	0.000000
IND_BOILER_WASTE	1.598174	1.598174	1.598174	1.090534	0.419922	0.229885	0.229885	0.229885	0.759406	1.598174	1.598174	1.598174
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.017084	0.392696	0.582733	0.582733	0.582733	0.249879	0.000000	0.000000	0.000000
DEC_HP_ELEC	9.096892	8.935467	6.608393	1.524118	0.026044	0.000000	0.000000	0.000000	1.016079	4.328245	6.956288	10.522278
DEC_THERMAL_HP_GAS	2.020800	2.002609	1.511462	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	1.002124	1.559000	2.326403
DEC_BOILER_GAS	4.269822	4.231386	3.193623	0.847510	0.180267	0.180267	0.180267	0.180267	0.625096	2.117425	3.294069	4.915541
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
THERMAL_SOLAR	0.156263	0.234395	0.312527	0.312527	0.364615	0.390658	0.390658	0.390658	0.338571	0.260439	0.182307	0.130219
DEC_HEATER_ELEC	0.006278	0.006221	0.004695	0.001246	0.000265	0.000265	0.000265	0.000265	0.000919	0.003113	0.004843	0.007227
H2_FROM_GAS	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726
PYROLYSIS	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475

Resource [GW]
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
OIL	1.104310	1.085958	0.590439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076568	0.638400	1.412633
NG	7.537844	7.482993	6.002007	2.653883	1.701664	1.701664	1.701664	1.701664	2.336477	4.466170	6.145352	8.459346
NG_CCS	6.828358	6.828358	6.828358	2.711461	0.000000	0.000000	0.000000	0.000000	0.000000	4.867147	6.828358	6.828358
WOOD	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712
WASTE	1.949772	1.949772	1.949772	1.330452	0.512305	0.280460	0.280460	0.280460	0.926475	1.949772	1.949772	1.949772

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_PHEV	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164
CAR_BEV	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493
CAR_FC	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
BUS_DIESEL	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619
BUS_NG	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709
TRAIN_PUBLIC	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434
TRAIN_FREIGHT	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174
TRUCK_FREIGHT_FC	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260
