Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	21.689747	8.749128
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
IND_BOILER_OIL	3.754897	0.973391
IND_BOILER_COAL	2.204065	0.570458
IND_BOILER_WASTE	12.985996	3.361049
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	105.586089	41.161335
DEC_BOILER_OIL	33.514266	25.948450
H2_FROM_GAS	145.185290	59.178082
PYROLYSIS	162.016802	137.740542

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	1178.914185
GASOLINE	702.000000
OIL	253.379199
NG	1629.569095
NG_CCS	151.000675
WOOD	725.651854
COAL	51.300668
WASTE	0.000000
