Technology	Energy output [GWh/y]
CCGT_CCS	2157.152
HYDRO_DAM_EXISTING	16564.646
HYDRO_DAM	902.035
HYDRO_RIVER_EXISTING	16105.920
IND_BOILER_OIL	3038.964
IND_BOILER_COAL	1828.249
IND_BOILER_WASTE	9132.787
DEC_HP_ELEC	35595.000
DEC_THERMAL_HP_GAS	8326.316
DEC_BOILER_GAS	20149.684
DEC_BOILER_OIL	7119.000
H2_FROM_GAS	6480.000
PYROLYSIS	8062.798

Resource	Energy consumption [GWh/y]
ELECTRICITY	16841.631
GASOLINE	7800.000
OIL	3619.703
NG	40739.227
NG_CCS	3775.017
WOOD	12094.198
COAL	2230.464
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	15000.000
CAR_DIESEL	15000.000
CAR_NG	0.000
CAR_PHEV	7500.000
CAR_BEV	22500.000
CAR_FC	15000.000
BUS_DIESEL	1528.883
BUS_NG	13471.117
TRAIN_PUBLIC	35000.000
TRAIN_FREIGHT	14000.000
TRUCK_FREIGHT_FC	21000.000
