Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	2.129920
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
IND_BOILER_OIL	0.558950
IND_BOILER_COAL	0.657487
IND_BOILER_WASTE	2.322676
DEC_HP_ELEC	130.613534
DEC_THERMAL_HP_GAS	63.683009
DEC_BOILER_GAS	10.017349
DEC_BOILER_OIL	3.539187
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	8083.982984
GASOLINE	2730.000000
OIL	1122.107880
NG	10999.591389
NG_CCS	101.925455
WOOD	145.130371
COAL	892.185527
WASTE	1671.300000
