Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	0.289706	0.289706	0.289706	0.289706	0.224976	0.127243	0.000000	0.289706	0.289706	0.289706	0.289706	0.289706
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.477533	0.772533	0.772533	0.772533	0.772533	0.575866	0.000000	0.000000	0.000000
IND_BOILER_COAL	0.231894	0.231894	0.231894	0.000000	0.183271	0.231894	0.231894	0.231894	0.231894	0.231894	0.231894	0.231894
IND_BOILER_WASTE	1.366280	1.366280	1.366280	1.120641	0.642370	0.593747	0.593747	0.593747	0.790414	1.366280	1.366280	1.366280
DEC_HP_ELEC	8.638920	8.561155	6.461500	1.714726	0.364726	0.364726	0.364726	0.364726	1.264726	4.284081	6.664726	9.945371
DEC_THERMAL_HP_GAS	2.020800	2.002609	1.511462	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	1.002124	1.559000	2.326403
DEC_BOILER_GAS	4.890336	4.846314	3.657738	0.970675	0.206465	0.206465	0.206465	0.206465	0.715938	2.425141	3.772781	5.629894
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
H2_FROM_GAS	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726
PYROLYSIS	0.920411	0.920411	0.920411	0.920411	0.920411	0.920411	0.920411	0.920411	0.920411	0.920411	0.920411	0.920411

Resource [GW]
ELECTRICITY	4.513471	4.519175	3.830540	1.681963	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.442999	5.251115
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
OIL	1.118374	1.100022	0.604503	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.090632	0.652465	1.426697
NG	8.242762	8.181710	6.533322	2.806744	1.746891	1.746891	1.746891	1.746891	2.453459	4.823882	6.692870	9.268426
NG_CCS	0.506986	0.506986	0.506986	0.506986	0.393709	0.222675	0.000000	0.506986	0.506986	0.506986	0.506986	0.506986
WOOD	1.380616	1.380616	1.380616	1.380616	1.380616	1.380616	1.380616	1.380616	1.380616	1.380616	1.380616	1.380616
COAL	0.282910	0.282910	0.282910	0.000000	0.223590	0.282910	0.282910	0.282910	0.282910	0.282910	0.282910	0.282910
WASTE	1.666862	1.666862	1.666862	1.367182	0.783691	0.724371	0.724371	0.724371	0.964305	1.666862	1.666862	1.666862

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_NG	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CAR_PHEV	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164
CAR_BEV	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493
CAR_FC	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
BUS_DIESEL	0.174530	0.174530	0.174530	0.174530	0.174530	0.174530	0.174530	0.174530	0.174530	0.174530	0.174530	0.174530
BUS_NG	1.537799	1.537799	1.537799	1.537799	1.537799	1.537799	1.537799	1.537799	1.537799	1.537799	1.537799	1.537799
TRAIN_PUBLIC	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434
TRAIN_FREIGHT	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174
TRUCK_FREIGHT_FC	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260
